symbol,date,open,high,close,low,volume (10K shares)
AAPL.O,2024-05-23,189.8755,189.8954,185.7992,185.5457,"5,100.5924"
AAPL.O,2024-05-24,187.7280,189.4778,188.8813,186.9525,"3,632.6975"
AAPL.O,2024-05-28,190.4025,191.8838,188.8912,188.0064,"5,228.0051"
AAPL.O,2024-05-29,188.5134,191.1352,189.1895,188.4140,"5,306.8016"
AAPL.O,2024-05-30,189.6568,191.0686,190.1837,189.5275,"4,994.7941"
AAPL.O,2024-05-31,190.3329,191.4563,191.1382,188.8117,"7,515.8277"
AAPL.O,2024-06-03,191.7844,193.8623,192.9079,191.4066,"5,008.0539"
AAPL.O,2024-06-04,193.5094,194.1904,193.2260,191.9176,"4,747.1445"
AAPL.O,2024-06-05,194.2700,195.7613,194.7372,193.7430,"5,415.6785"
AAPL.O,2024-06-06,194.5533,195.3636,193.3553,193.0471,"4,118.1753"
AAPL.O,2024-06-07,193.5243,195.8010,195.7513,193.0172,"5,310.3912"
AAPL.O,2024-06-10,195.7613,196.1590,192.0031,191.0387,"9,726.2077"
AAPL.O,2024-06-11,192.5301,205.9619,205.9520,192.5102,"17,237.3300"
AAPL.O,2024-06-12,206.1707,218.9265,211.8378,205.7034,"19,813.4290"
AAPL.O,2024-06-13,213.4981,215.4965,213.0010,210.3763,"9,786.2729"
AAPL.O,2024-06-14,212.6133,213.9256,211.2611,210.0780,"7,012.2748"
AAPL.O,2024-06-17,212.1360,217.6838,215.4169,211.4898,"9,372.8300"
AAPL.O,2024-06-18,216.3316,217.3656,213.0507,211.7682,"7,994.3254"
AAPL.O,2024-06-20,212.6928,213.0010,208.4674,207.6422,"8,617.2451"
AAPL.O,2024-06-21,209.1733,210.6646,206.2900,205.9122,"24,642.1350"
AAPL.O,2024-06-24,206.5187,211.4699,206.9363,205.3952,"8,072.7006"
AAPL.O,2024-06-25,207.9404,210.1575,207.8609,207.4036,"5,671.3868"
AAPL.O,2024-06-26,210.2768,213.6174,212.0167,209.4218,"6,621.3186"
AAPL.O,2024-06-27,213.4484,214.4923,212.8618,211.1219,"4,977.2707"
AAPL.O,2024-06-28,214.5221,214.8204,209.4019,209.0838,"8,254.2718"
AAPL.O,2024-07-01,210.8634,216.2521,215.4965,210.6944,"6,040.2929"
AAPL.O,2024-07-02,214.9000,219.1055,218.9961,213.8560,"5,804.6178"
AAPL.O,2024-07-03,218.7277,220.2687,220.2687,217.7633,"3,736.9801"
AAPL.O,2024-07-05,220.3681,225.1404,225.0310,220.3681,"6,041.2408"
AAPL.O,2024-07-08,225.7767,226.5323,226.5025,221.9589,"5,908.5861"
AAPL.O,2024-07-09,226.6118,228.0733,227.3575,225.0628,"4,816.9822"
AAPL.O,2024-07-10,227.9739,231.7320,231.6326,227.9242,"6,262.7687"
AAPL.O,2024-07-11,230.0518,231.0460,226.2539,224.4643,"6,471.0617"
AAPL.O,2024-07-12,227.5961,231.2946,229.2067,227.3575,"5,304.6527"
AAPL.O,2024-07-15,235.1124,235.8580,233.0444,231.7420,"6,263.1252"
AAPL.O,2024-07-16,233.6409,234.9036,233.4620,230.9864,"4,323.4278"
AAPL.O,2024-07-17,228.1230,230.1214,227.5563,225.3293,"5,734.5884"
AAPL.O,2024-07-18,228.9482,229.1073,222.8835,220.9846,"6,603.4585"
AAPL.O,2024-07-19,223.5198,225.4884,223.0128,221.9837,"4,915.1453"
AAPL.O,2024-07-22,225.6971,226.4627,222.6648,221.7998,"4,820.1835"
AAPL.O,2024-07-23,223.0674,225.6275,223.7087,221.3922,"3,996.0260"
AAPL.O,2024-07-24,222.7046,223.4999,217.2761,215.8743,"6,177.7576"
AAPL.O,2024-07-25,217.6639,219.5728,216.2322,213.3788,"5,139.1199"
AAPL.O,2024-07-26,217.4352,218.2206,216.6995,214.7608,"4,160.1345"
AAPL.O,2024-07-29,215.7053,218.0317,216.9779,214.5023,"3,631.1778"
AAPL.O,2024-07-30,217.9224,219.0508,217.5346,214.8701,"4,164.3840"
AAPL.O,2024-07-31,220.1594,222.5256,220.7957,219.3540,"5,003.6262"
AAPL.O,2024-08-01,223.0724,223.1818,217.0972,215.7649,"6,250.0996"
AAPL.O,2024-08-02,217.8826,224.2953,218.5885,216.4509,"10,556.8560"
AAPL.O,2024-08-05,197.9386,212.2653,208.0597,194.8665,"11,954.8589"
AAPL.O,2024-08-06,204.1127,208.7756,206.0315,199.9072,"6,966.0488"
AAPL.O,2024-08-07,205.7034,212.4045,208.6066,205.1964,"6,351.6417"
AAPL.O,2024-08-08,211.8775,212.9612,212.0764,207.6223,"4,716.1149"
AAPL.O,2024-08-09,210.8734,215.5263,214.9894,210.7441,"4,220.1646"
AAPL.O,2024-08-12,215.0691,218.4931,216.5223,214.6012,"3,802.8092"
AAPL.O,2024-08-13,217.9954,220.8621,220.2450,217.9954,"4,415.5331"
AAPL.O,2024-08-14,219.5482,221.9968,220.6929,218.6822,"4,196.0574"
AAPL.O,2024-08-15,223.5595,224.3061,223.6790,221.7281,"4,641.4013"
AAPL.O,2024-08-16,222.8827,225.7762,225.0028,222.6139,"4,434.0240"
AAPL.O,2024-08-19,224.6744,224.9431,224.8436,222.0068,"4,068.7813"
AAPL.O,2024-08-20,224.7241,226.1176,225.4607,224.4056,"3,029.9033"
AAPL.O,2024-08-21,225.4707,226.9239,225.3512,224.0075,"3,476.5480"
AAPL.O,2024-08-22,226.7348,227.2822,223.4899,222.8628,"4,369.5321"
AAPL.O,2024-08-23,224.6136,227.1628,225.7892,223.2908,"3,867.7250"
AAPL.O,2024-08-26,225.7095,226.2271,226.1276,222.8538,"3,060.2208"
AAPL.O,2024-08-27,224.9481,227.7899,226.9737,223.8482,"3,593.4559"
AAPL.O,2024-08-28,226.8642,228.7952,225.4408,224.6345,"3,805.2167"
AAPL.O,2024-08-29,229.0341,231.8410,228.7255,227.8197,"5,190.6297"
AAPL.O,2024-08-30,229.1236,229.3327,227.9392,226.4262,"5,299.0770"
AAPL.O,2024-09-03,227.4912,227.9392,221.7380,220.1454,"5,019.0574"
AAPL.O,2024-09-04,220.6332,220.7526,219.8269,216.4725,"4,384.0196"
AAPL.O,2024-09-05,220.5983,224.4355,221.3498,220.4938,"3,661.5398"
AAPL.O,2024-09-06,222.9126,224.1966,219.7971,218.7519,"4,842.3011"
AAPL.O,2024-09-09,219.7971,220.2450,219.8866,215.7061,"6,717.9965"
AAPL.O,2024-09-10,217.9059,220.4540,219.0903,215.7260,"5,159.1033"
AAPL.O,2024-09-11,220.4291,222.0565,221.6285,216.8806,"4,458.7072"
AAPL.O,2024-09-12,221.4693,222.5144,221.7380,218.8017,"3,749.8225"
AAPL.O,2024-09-13,222.5443,223.0021,221.4693,220.8820,"3,676.6619"
AAPL.O,2024-09-16,215.5369,216.2137,215.3179,212.9290,"5,935.7427"
AAPL.O,2024-09-17,214.7505,215.8952,215.7857,213.5063,"4,551.9339"
AAPL.O,2024-09-18,216.5422,221.6783,219.6677,216.5322,"5,989.4928"
AAPL.O,2024-09-19,223.9477,228.7554,227.8098,223.5894,"6,678.1315"
AAPL.O,2024-09-20,228.9047,232.0102,227.1429,226.5656,"31,867.9890"
AAPL.O,2024-09-23,226.2869,228.3871,225.4209,224.7639,"5,414.6023"
AAPL.O,2024-09-24,227.5858,228.2875,226.3167,224.6843,"4,355.6068"
AAPL.O,2024-09-25,223.8880,226.2371,225.3213,222.9822,"4,230.8715"
AAPL.O,2024-09-26,226.2470,227.4415,226.4660,224.3658,"3,663.6707"
AAPL.O,2024-09-27,227.4017,228.4568,226.7348,226.2470,"3,402.5967"
AAPL.O,2024-09-30,228.9743,231.9206,231.9206,228.5862,"5,479.3391"
AAPL.O,2024-10-01,228.4568,228.5862,225.1621,222.7035,"6,328.5048"
AAPL.O,2024-10-02,224.8436,226.3167,225.7294,221.9869,"3,288.0605"
AAPL.O,2024-10-03,224.0970,225.7543,224.6246,222.2855,"3,404.4158"
AAPL.O,2024-10-04,226.8443,226.9438,225.7494,223.0917,"3,734.5098"
AAPL.O,2024-10-07,223.4600,224.6445,220.6630,220.3047,"3,950.5354"
AAPL.O,2024-10-08,223.2609,224.9332,224.7241,222.2158,"3,185.5693"
AAPL.O,2024-10-09,224.1866,228.6857,228.4767,223.7885,"3,359.1091"
AAPL.O,2024-10-10,226.7248,228.4368,227.9790,226.1176,"2,818.3544"
AAPL.O,2024-10-11,228.2378,228.3473,226.4959,226.2869,"3,175.9188"
AAPL.O,2024-10-14,227.6406,230.6565,230.2285,227.5410,"3,988.2085"
AAPL.O,2024-10-15,232.5278,236.3898,232.7667,231.2936,"6,475.1367"
AAPL.O,2024-10-16,230.5271,231.0447,230.7063,228.7753,"3,408.2240"
AAPL.O,2024-10-17,232.3486,232.7667,231.0746,229.4521,"3,299.3810"
AAPL.O,2024-10-18,235.0859,235.0859,233.9114,232.9260,"4,643.1472"
AAPL.O,2024-10-21,233.3639,235.7528,235.3845,233.3639,"3,625.4470"
AAPL.O,2024-10-22,232.8015,235.1257,234.7674,231.5225,"3,884.6578"
AAPL.O,2024-10-23,232.9956,234.0547,229.6910,226.7049,"5,228.6979"
AAPL.O,2024-10-24,228.9146,229.7507,229.5019,227.3519,"3,110.9503"
AAPL.O,2024-10-25,228.6757,232.1396,230.3380,228.5065,"3,880.2304"
AAPL.O,2024-10-28,232.2391,233.6426,232.3188,231.4727,"3,608.7134"
AAPL.O,2024-10-29,232.0202,233.2395,232.5875,231.2438,"3,541.7247"
AAPL.O,2024-10-30,231.5324,232.3885,229.0341,228.4866,"4,707.0907"
AAPL.O,2024-10-31,228.2776,228.7653,224.8635,224.3260,"6,437.0086"
AAPL.O,2024-11-01,219.9414,224.3061,221.8774,219.2496,"6,527.6741"
AAPL.O,2024-11-04,219.9663,221.7579,220.9815,218.6922,"4,494.4468"
AAPL.O,2024-11-05,220.7675,222.9126,222.4149,220.1156,"2,811.1338"
AAPL.O,2024-11-06,221.5788,225.0178,221.6883,220.1653,"5,456.1121"
AAPL.O,2024-11-07,223.5844,226.8194,226.4262,223.5297,"4,213.7691"
AAPL.O,2024-11-08,226.3664,227.8511,226.1572,225.6041,"3,832.8824"
